Nombre del recurso,Academia/Instituto,Archivos,Descripción del recurso,Efecto panico,Función del mensaje,Idioma que enseña,Link,Material Base,Número,Subítem,Texto,Tipo de palabra,Tipo de recurso,Tipo de signo,descripción del signo,ítem principal
Yo puedo,CCch,neng.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""poder"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""néng"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una fotografía de un bebé con una expresión de determinación y la frase ""YO PUEDO"" en un cuadro de texto blanco con borde amarillo. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía del bebé.",Si,Anclaje,Chino Mandarín,,Desconocido,138,,"Esta misma imagen fue utilizada para “nosotros”. aunque quizas uno podria asociar la expresion del niño con la palabra poder, sigue siendo muy ambiguo",Verbos,meme,índice,El gesto indica que es capaz.,
Escuchar,CCch,escuchar.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""escuchar"" en negro. En la parte inferior derecha, hay una burbuja de diálogo blanca con un borde azul que contiene un carácter chino en negro y la palabra ""tīng"" en rojo. A la izquierda de la burbuja, hay una fotografía de una persona con la mano en la oreja, como si estuviera escuchando. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de la persona.",No,Anclaje,Chino Mandarín,,Desconocido,139,,,Verbos,Foto,Icono,,
Comprar,CCch,comprar.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""comprar"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""mǎi"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una ilustración de Bart Simpson con dinero en la mano, y la frase ""I'LL TAKE IT!"" en un cuadro de texto. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la ilustración de Bart Simpson.",No,Anclaje,Chino Mandarín,,Desconocido,140,,,Verbos,meme,Icono,,
Comer,CCch,comer.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""comer"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""chī"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una fotografía de una mujer comiendo espagueti. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de la mujer.",No,Anclaje,Chino Mandarín,,Desconocido,141,,,Verbos,Foto,Icono,,
Beber,CCch,beber.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""beber"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""hē"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una fotografía de un hombre bebiendo agua de una botella. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía del hombre.",No,Anclaje,Chino Mandarín,,Desconocido,142,,,Verbos,Foto,Icono,,
Querer,CCch,QUERER.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""querer"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""xiǎng"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una fotografía de un niño pequeño con los brazos levantados. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía del niño.",No,Anclaje,Chino Mandarín,,Desconocido,143,,,Verbos,Foto,índice,El gesto del niño de levantar los brazos indica que quiere algo,
Ir,CCch,ir.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""ir"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""qù"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una ilustración de un hombre caminando sobre un fondo naranja. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul, el naranja y los tonos de la ilustración del hombre.",No,Anclaje,Chino Mandarín,,Desconocido,144,,,Verbos,Ilustración,Icono,,
Bailar,CCch,bailar.png,"La imagen tiene un fondo gris claro. En la parte superior, hay una burbuja de diálogo blanca con un borde azul que contiene dos caracteres chinos en negro y la palabra ""tiàowǔ"" en rojo. Debajo de la burbuja, hay una fotografía de un grupo de personas bailando en un estudio, con la palabra ""bailar"" en un cuadro de texto rojo. Los colores predominantes son el gris claro, el blanco, el azul, el negro, el rojo y los tonos de la fotografía de las personas y el estudio.",No,Anclaje,Chino Mandarín,,Desconocido,145,,,Verbos,Foto,Icono,,
Cantar,CCch,cantar.png,"La imagen tiene un fondo gris claro. En la parte superior, hay una burbuja de diálogo blanca con un borde azul que contiene dos caracteres chinos en negro y la palabra ""chànggē"" en rojo. Debajo de la burbuja, hay una fotografía de una mujer cantando en un escenario, con la palabra ""cantar"" en un cuadro de texto rojo. Los colores predominantes son el gris claro, el blanco, el azul, el negro, el rojo y los tonos de la fotografía de la mujer.",No,Anclaje,Chino Mandarín,,Desconocido,146,,,Verbos,Foto,Icono,,
Patear/jugar fútbol,CCch,jugar.png,"La imagen tiene un fondo gris claro. En la parte superior, hay una burbuja de diálogo blanca con un borde azul que contiene tres caracteres chinos en negro y la frase ""tī zú qiú"" en rojo. Debajo de la burbuja, hay una fotografía de un partido de fútbol con varios jugadores en el campo, incluyendo a Lionel Messi. En la parte inferior izquierda de la fotografía, hay un cuadro de texto con caracteres chinos y la palabra ""tī (patear)"" en rojo. En la parte inferior derecha de la fotografía, hay un cuadro de texto con la frase ""jugar fútbol"" en rojo. Los colores predominantes son el gris claro, el blanco, el azul, el negro, el rojo y los tonos de la fotografía del partido de fútbol.",No,Anclaje,Chino Mandarín,,Desconocido,147,,,Verbos,Foto,Simbolo,"La foto tiene una connotacion porque muestra a dos jugadores, de dos equipos distintos, y un arbitro. Tambien podemos ver a Messi. Esto quiere decir, que no es una imagen cualquiera de futbol, representa un partido en especifico con equipos especificos",
Nadar,CCch,nadar.png,"La imagen tiene un fondo gris claro. En la parte superior, hay una burbuja de diálogo blanca con un borde azul que contiene dos caracteres chinos en negro y la frase ""yóuyǒng"" en rojo. Debajo de la burbuja, hay una fotografía de un hombre nadando en una piscina, con la palabra ""nadar"" en un cuadro de texto rojo. Los colores predominantes son el gris claro, el blanco, el azul, el negro, el rojo y los tonos de la fotografía del hombre nadando.",No,Anclaje,Chino Mandarín,,Desconocido,148,,,Verbos,Foto,Icono,,
Dibujar,CCch,dibujar.png,"La imagen tiene un fondo gris claro. En la parte superior, hay una burbuja de diálogo blanca con un borde azul que contiene dos caracteres chinos en negro y la frase ""huà huà"" en rojo. Debajo de la burbuja, hay una fotografía de una pintura de estilo chino con hojas naranjas y una rama. En la parte inferior derecha de la fotografía, hay un cuadro de texto con la palabra ""dibujar"" en rojo. Los colores predominantes son el gris claro, el blanco, el azul, el negro, el rojo, el naranja y los tonos de la pintura.",No,Anclaje,Chino Mandarín,,Desconocido,149,,,Verbos,Foto,Icono,,
Leer,CCch,leer.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""leer"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""dú"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una ilustración de un hombre sentado sobre una pila de libros, leyendo un libro rojo. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la ilustración del hombre y los libros.",No,Anclaje,Chino Mandarín,,Desconocido,150,,,Verbos,Ilustración,Icono,,
Escribir,CCch,escribir.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""escribir"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""xiě"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una fotografía de una mano escribiendo caracteres chinos con un pincel en un papel. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de la mano escribiendo.",No,Anclaje,Chino Mandarín,,Desconocido,151,,,Verbos,Foto,Icono,,
Hacer/Cocinar,CCch,hacer.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la frase ""hacer/cocinar"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""zuò"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una palabra grande en mayúsculas que dice ""HACER"" con un degradado de color naranja a amarillo y un borde negro. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul, el naranja y el amarillo.",Si,Anclaje,Chino Mandarín,,Desconocido,152,,"hacer/cocinar pudo representarse de tantas formas posibles, porque es que eligieron solo poner la misma palabra en una fuente loca?",Verbos,Tipografía,Icono,,
Hablar,CCch,hablar.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""hablar"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""shuō"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una fotografía de una mujer con la boca abierta y letras saliendo de ella. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de la mujer.",No,Anclaje,Chino Mandarín,,Desconocido,153,,,Verbos,Foto,Icono,,
Poder,CCch,poder.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""poder"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""huì"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una ilustración de un hombre con múltiples brazos, realizando varias tareas a la vez, como trabajar en una laptop, beber café, revisar un calendario y usar un teléfono. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la ilustración del hombre.",No,Anclaje,Chino Mandarín,,Desconocido,154,,porque la imagen va en el sentido de “yo puedo hacer todas estas cosas”,Verbos,Ilustración,índice,"Siento que podria ser indice tambien, porque no hay una referencia exacta al objeto (poder) Este se infiere por las acciones del personaje, que hace muchas cosas al mismo tiempo",
Año,CCch,ao.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""año"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""nián"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una fotografía de dos bloques de madera, el primero muestra el número ""20"". El segundo muestra el número ""23"" en la cara superior y ""24"" en la cara inferior. Hay una mano moviendo el segundo bloque. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de los bloques de madera.",Si,Anclaje,Chino Mandarín,,Desconocido,155,,"la imagen de un juguete no resuena much a la palabra año, aunque tenga numeros",Tiempo,Foto,índice,La accion de mover el cubo que representa la imagen indica el cambio de año,
Minuto,CCch,minuto2.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""minuto"" en negro. En la parte inferior izquierda, hay un cuadro con un fondo degradado de morado a azul, que contiene el número ""1"" y la abreviatura ""min."". A la derecha del cuadro, hay una burbuja de diálogo blanca con un borde azul que contiene dos caracteres chinos en negro y la palabra ""fēnzhōng"" en rojo. Debajo de ""fēnzhōng"", hay una letra ""g"" en rojo. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y el morado.",Si,Anclaje,Chino Mandarín,,Desconocido,156,,"el tiempo siempre puede representarse con un reloj, hubiera sido mejor que solo el numero 1 en un fondo raro",Tiempo,Tipografía,Icono,,
Despues,CCch,despues.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""después"" en negro. En la parte inferior derecha, hay una burbuja de diálogo blanca con un borde azul que contiene un carácter chino en negro y la palabra ""hòu"" en rojo. A la izquierda de la burbuja, hay una fotografía de un atardecer con siluetas de árboles y la palabra ""DESPUES"" en mayúsculas. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul, el naranja y los tonos del atardecer.",Si,Anclaje,Chino Mandarín,,Desconocido,157,,no se entiende porque es pic es despues,Tiempo,Tipografía,Icono,,
En la mañana,CCch,enlamaana.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la frase ""en la mañana"" en negro. En la parte inferior izquierda, hay una ilustración de un paisaje con un sol brillante en el cielo azul y colinas verdes, enmarcado por un borde morado. A la derecha de la ilustración, hay una burbuja de diálogo blanca con un borde azul que contiene dos caracteres chinos en negro y la palabra ""shàngwǔ"" en rojo. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul, el verde, el amarillo y el morado.",No,Anclaje,Chino Mandarín,,Desconocido,158,,,Tiempo,Ilustración,Icono,,
Mediodía,CCch,mediodia.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""mediodía"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""zhōngwǔ"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay una ilustración de un paisaje con una casa roja, árboles, un sol brillante y un reloj que marca las 12 en punto. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul, el verde, el amarillo y el marrón.",No,Anclaje,Chino Mandarín,,Desconocido,159,,,Tiempo,Ilustración,Icono,,
Momento,CCch,momento.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""momento"" en negro. En la parte inferior derecha, hay una burbuja de diálogo blanca con un borde azul que contiene dos caracteres chinos en negro y la palabra ""shíhou"" en rojo. A la izquierda de la burbuja, hay una imagen de Fry de Futurama con las palabras ""UN"" y ""MOMENTO.."" en cuadros de texto. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la ilustración de Fry.",Si,Anclaje,Chino Mandarín,,Desconocido,160,,le falta contexto. No representa el elemento de “tiempo” de la palabra,Tiempo,meme,índice,"No sé si es indice o icono porque el texto (meme) señala exactamente que quiere decir, pero sin eso, seria una interpretacion de que el personaje quiere decir “un momento” por su expresion",
Minuto,CCch,minuto.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""minuto"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""fēn"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay un fondo rojo con un icono blanco de un cronómetro. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",No,Anclaje,Chino Mandarín,,Desconocido,161,,,Tiempo,Ilustración,Icono,,
Hora,CCch,hora.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""hora"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""diǎn"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una imagen de un reloj que marca las 12 en punto. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",No,Anclaje,Chino Mandarín,,Desconocido,162,,,Tiempo,Ilustración,Icono,,
Ahora,CCch,AHORA.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""ahora"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""xiànzài"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay una imagen de Mr. Bean con la frase ""AHORA SI"" en un cuadro de texto con un borde amarillo. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la imagen de Mr. Bean.",Si,Anclaje,Chino Mandarín,,Desconocido,163,,"La cara de mr bean no indica nada que tenga que ver con un tiempo en especifico, parece indicativo de algo mas turbio",Tiempo,meme,índice,La expresion del personaje indica lo que quiere decir,
Tarde,CCch,tarde.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""tarde"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""xiàwǔ"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de un atardecer sobre un cuerpo de agua, con el cielo lleno de nubes naranjas y rojas. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos del atardecer.",No,Anclaje,Chino Mandarín,,Desconocido,164,,,Tiempo,Foto,Icono,,
Ayer,CCch,ayer.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""ayer"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""zuótiān"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay un meme de Nicolas Cage con los ojos muy abiertos y las palabras ""AYER"" y ""FUE AYER"" en cuadros de texto. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos del meme de Nicolas Cage.",Si,Anclaje,Chino Mandarín,,Desconocido,165,,la cara de nicolas cage parece mas bien una reaccion a una ironia que a algo que tenga que ver con el ayer.,Tiempo,meme,índice,La expresion del personaje indica lo que quiere decir,
Mañana,CCch,maana.png,"La imagen tiene un fondo gris claro. En la parte izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""míngtiān"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay un meme de un niño con los brazos levantados y las manos haciendo el signo de la paz, con la palabra ""MAÑANA"" en mayúsculas en la parte superior. Los colores predominantes son el gris claro, el blanco, el azul, el negro, el rojo y los tonos del meme del niño.",Si,Anclaje,Chino Mandarín,,Desconocido,166,,la figura del niño haciendo una pose no es indicativo de mañana,Tiempo,meme,índice,La expresion del personaje indica lo que quiere decir,
Hoy,CCch,hoy.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""hoy"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""jīntiān"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay un meme de un niño sonriendo con la frase ""Es HOY !!!"" en un cuadro de texto. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos del meme del niño.",Si,Anclaje,Chino Mandarín,,Desconocido,167,,un signo que podria representar mas una felicidad que el hoy,Tiempo,meme,índice,La expresion del personaje indica lo que quiere decir,
Mes,CCch,mes.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""mes"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""yuè"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una cuadrícula de 12 personajes de Among Us de diferentes colores, cada uno etiquetado con un mes del año en español. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul, el verde, el amarillo, el morado, el naranja, el marrón, el cian y el gris oscuro.",Si,Anclaje,Chino Mandarín,,Desconocido,168,,son amogus,Tiempo,meme,índice,Los amongus indican los meses,
Fecha,CCch,fecha.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""fecha"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""hào"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay un icono de calendario azul con el número ""31"" en blanco. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y el gris.",No,Anclaje,Chino Mandarín,,Desconocido,169,,,Tiempo,Ilustración,Icono,,
Universidad,CCch,universidad.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""universidad"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""dàxué"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de un edificio antiguo con arcos, que parece ser parte de una universidad. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía del edificio.",No,Anclaje,Chino Mandarín,,Desconocido,170,,,Lugares,Foto,Icono,,
Tienda,CCch,tienda.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""tienda"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""shāngdiàn"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de la fachada de una tienda llamada ""La tienda de Pedro"" con productos exhibidos. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de la tienda.",No,Anclaje,Chino Mandarín,,Desconocido,171,,,Lugares,Foto,Icono,,
Comisaria,CCch,comisaria.png,"La imagen tiene un fondo blanco. En la parte superior izquierda, hay una flecha azul apuntando hacia la derecha. Debajo de la flecha, hay dos caracteres chinos en negro y la frase ""(jǐng chá jú)"" en rojo. A la derecha de los caracteres chinos, hay una fotografía de una comisaría de Carabineros de Chile, con dos carabineros de pie frente a la entrada. Los colores predominantes son el blanco, el azul, el negro, el rojo, el verde y los tonos de la fotografía de la comisaría.",No,Anclaje,Chino Mandarín,,Desconocido,172,,,Lugares,Foto,Simbolo,Porque representa a la institucion de carabineros de chile.,
Banco,CCch,banco.png,"La imagen tiene un fondo blanco. En la parte superior, hay una burbuja de diálogo verde claro con un borde blanco que contiene la palabra ""banco"" en negro. Debajo de la burbuja, hay una burbuja de diálogo blanca con un borde azul que contiene dos caracteres chinos en negro y la palabra ""yínháng"" en rojo. Debajo de esta burbuja, hay una fotografía de la fachada de un banco con un letrero azul que dice ""Banco de Chile"". Los colores predominantes son el blanco, el verde claro, el negro, el azul, el rojo y los tonos de la fotografía del banco.",No,Anclaje,Chino Mandarín,,Desconocido,173,,,Lugares,Foto,Simbolo,El concepto de banco es representado con la imagen de “Banco de Chile”,
Hospital,CCch,hospital.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""hospital"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""yīyuàn"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de la fachada de un hospital moderno con ventanas de cristal y un letrero que dice ""+HOSPITAL"". Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía del hospital.",No,Anclaje,Chino Mandarín,,Desconocido,174,,,Lugares,Ilustración,Icono,,
Parque,CCch,parque.png,"La imagen tiene un fondo blanco. En la parte superior, hay una burbuja de diálogo blanca con un borde negro que contiene la palabra ""parque"" en negro. Debajo de la burbuja, hay otra burbuja de diálogo blanca con un borde azul que contiene dos caracteres chinos en negro y la palabra ""gōngyuán"" en rojo. Debajo de esta burbuja, hay una fotografía de un parque con césped verde, árboles y un sendero, con un rascacielos moderno al fondo. Los colores predominantes son el blanco, el negro, el azul, el rojo, el verde y los tonos de la fotografía del parque.",No,Anclaje,Chino Mandarín,,Desconocido,175,,,Lugares,Foto,Icono,,
Supermercado,CCch,supermercado.png,"La imagen tiene un fondo blanco. En la parte superior, hay una burbuja de diálogo blanca con un borde negro que contiene la palabra ""súpermercado"" en negro. Debajo de la burbuja, hay otra burbuja de diálogo blanca con un borde azul que contiene dos caracteres chinos en negro y la palabra ""chāoshì"" en rojo. Debajo de esta burbuja, hay una fotografía del interior de un supermercado con pasillos llenos de productos y un carrito de compras en primer plano. Los colores predominantes son el blanco, el negro, el azul, el rojo y los tonos de la fotografía del supermercado.",No,Anclaje,Chino Mandarín,,Desconocido,176,,,Lugares,Foto,Icono,,
Mercado tradicional,CCch,mercado.png,"La imagen tiene un fondo blanco. En la parte superior, hay una burbuja de diálogo blanca con un borde negro que contiene las palabras ""mercado tradicional"" en negro. Debajo de la burbuja, hay otra burbuja de diálogo blanca con un borde azul que contiene dos caracteres chinos en negro y la palabra ""càishìchǎng"" en rojo. Debajo de esta burbuja, hay una fotografía de un mercado tradicional con puestos de frutas y verduras y personas comprando. Los colores predominantes son el blanco, el negro, el azul, el rojo y los tonos de la fotografía del mercado.",No,Anclaje,Chino Mandarín,,Desconocido,177,,,Lugares,Foto,Icono,,
Gimnasia,CCch,gimnasio2.png,"La imagen tiene un fondo blanco. En la parte superior, hay una burbuja de diálogo blanca con un borde negro que contiene la palabra ""gimnasia"" en negro. Debajo de la burbuja, hay otra burbuja de diálogo blanca con un borde azul que contiene tres caracteres chinos en negro y la palabra ""jiànshēnfáng"" en rojo. Debajo de esta burbuja, hay una fotografía del interior de un gimnasio con pesas y una persona haciendo ejercicio en el fondo. Los colores predominantes son el blanco, el negro, el azul, el rojo y los tonos de la fotografía del gimnasio.",Si,Anclaje,Chino Mandarín,,Desconocido,178,,"en este caso, es la palabra que causa mucha confusion, gimnasia, el es un dporte, distinto a gimnasio, un lugar",Lugares,Foto,Icono,,
